name,description,image,nft_identification,nft_id,rarity,tag_1,tag_2,tag_3,user_id,user_id_hedera,madfenix_ownership
Licencia Dragón #1,Licencia Dragón #1,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,1,3,,,,,,,1
Licencia Dragón #2,Licencia Dragón #2,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,2,3,,,,,,,1
Licencia Dragón #3,Licencia Dragón #3,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,3,3,,,,,,,1
Licencia Dragón #4,Licencia Dragón #4,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,4,3,,,,,,,1
Licencia Dragón #5,Licencia Dragón #5,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,5,3,,,,,,,1
Licencia Dragón #6,Licencia Dragón #6,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,6,3,,,,,,,1
Licencia Dragón #7,Licencia Dragón #7,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,7,3,,,,,,,1
Licencia Dragón #8,Licencia Dragón #8,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,8,3,,,,,,,1
Licencia Dragón #9,Licencia Dragón #9,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,9,3,,,,,,,1
Licencia Dragón #10,Licencia Dragón #10,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,10,3,,,,,,,1
Licencia Dragón #11,Licencia Dragón #11,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,11,3,,,,,,,1
Licencia Dragón #12,Licencia Dragón #12,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,12,3,,,,,,,1
Licencia Dragón #13,Licencia Dragón #13,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,13,3,,,,,,,1
Licencia Dragón #14,Licencia Dragón #14,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,14,3,,,,,,,1
Licencia Dragón #15,Licencia Dragón #15,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,15,3,,,,,,,1
Licencia Dragón #16,Licencia Dragón #16,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,16,3,,,,,,,1
Licencia Dragón #17,Licencia Dragón #17,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,17,3,,,,,,,1
Licencia Dragón #18,Licencia Dragón #18,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,18,3,,,,,,,1
Licencia Dragón #19,Licencia Dragón #19,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,19,3,,,,,,,1
Licencia Dragón #20,Licencia Dragón #20,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,20,3,,,,,,,1
Licencia Dragón #21,Licencia Dragón #21,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,21,3,,,,,,,1
Licencia Dragón #22,Licencia Dragón #22,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,22,3,,,,,,,1
Licencia Dragón #23,Licencia Dragón #23,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,23,3,,,,,,,1
Licencia Dragón #24,Licencia Dragón #24,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,24,3,,,,,,,1
Licencia Dragón #25,Licencia Dragón #25,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,25,3,,,,,,,1
Licencia Dragón #26,Licencia Dragón #26,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,26,3,,,,,,,1
Licencia Dragón #27,Licencia Dragón #27,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,27,3,,,,,,,1
Licencia Dragón #28,Licencia Dragón #28,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,28,3,,,,,,,1
Licencia Dragón #29,Licencia Dragón #29,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,29,3,,,,,,,1
Licencia Dragón #30,Licencia Dragón #30,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,30,3,,,,,,,1
Licencia Dragón #31,Licencia Dragón #31,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,31,3,,,,,,,1
Licencia Dragón #32,Licencia Dragón #32,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,32,3,,,,,,,1
Licencia Dragón #33,Licencia Dragón #33,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,33,3,,,,,,,1
Licencia Dragón #34,Licencia Dragón #34,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,34,3,,,,,,,1
Licencia Dragón #35,Licencia Dragón #35,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,35,3,,,,,,,1
Licencia Dragón #36,Licencia Dragón #36,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,36,3,,,,,,,1
Licencia Dragón #37,Licencia Dragón #37,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,37,3,,,,,,,1
Licencia Dragón #38,Licencia Dragón #38,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,38,3,,,,,,,1
Licencia Dragón #39,Licencia Dragón #39,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,39,3,,,,,,,1
Licencia Dragón #40,Licencia Dragón #40,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,40,3,,,,,,,1
Licencia Dragón #41,Licencia Dragón #41,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,41,3,,,,,,,1
Licencia Dragón #42,Licencia Dragón #42,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,42,3,,,,,,,1
Licencia Dragón #43,Licencia Dragón #43,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,43,3,,,,,,,1
Licencia Dragón #44,Licencia Dragón #44,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,44,3,,,,,,,1
Licencia Dragón #45,Licencia Dragón #45,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,45,3,,,,,,,1
Licencia Dragón #46,Licencia Dragón #46,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,46,3,,,,,,,1
Licencia Dragón #47,Licencia Dragón #47,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,47,3,,,,,,,1
Licencia Dragón #48,Licencia Dragón #48,https://docs.valentigamez.com/2357/_media/licencia-mecenas-dragon.png,48,3,,,,,,,1
