name,description,image,nft_identification,nft_id,rarity,tag_1,tag_2,tag_3,user_id,user_id_hedera,madfenix_ownership
Licencia Fénix #1,Licencia Fénix #1,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,1,4,,,,,,,1
Licencia Fénix #2,Licencia Fénix #2,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,2,4,,,,,,,1
Licencia Fénix #3,Licencia Fénix #3,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,3,4,,,,,,,1
Licencia Fénix #4,Licencia Fénix #4,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,4,4,,,,,,,1
Licencia Fénix #5,Licencia Fénix #5,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,5,4,,,,,,,1
Licencia Fénix #6,Licencia Fénix #6,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,6,4,,,,,,,1
Licencia Fénix #7,Licencia Fénix #7,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,7,4,,,,,,,1
Licencia Fénix #8,Licencia Fénix #8,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,8,4,,,,,,,1
Licencia Fénix #9,Licencia Fénix #9,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,9,4,,,,,,,1
Licencia Fénix #10,Licencia Fénix #10,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,10,4,,,,,,,1
Licencia Fénix #11,Licencia Fénix #11,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,11,4,,,,,,,1
Licencia Fénix #12,Licencia Fénix #12,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,12,4,,,,,,,1
Licencia Fénix #13,Licencia Fénix #13,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,13,4,,,,,,,1
Licencia Fénix #14,Licencia Fénix #14,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,14,4,,,,,,,1
Licencia Fénix #15,Licencia Fénix #15,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,15,4,,,,,,,1
Licencia Fénix #16,Licencia Fénix #16,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,16,4,,,,,,,1
Licencia Fénix #17,Licencia Fénix #17,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,17,4,,,,,,,1
Licencia Fénix #18,Licencia Fénix #18,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,18,4,,,,,,,1
Licencia Fénix #19,Licencia Fénix #19,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,19,4,,,,,,,1
Licencia Fénix #20,Licencia Fénix #20,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,20,4,,,,,,,1
Licencia Fénix #21,Licencia Fénix #21,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,21,4,,,,,,,1
Licencia Fénix #22,Licencia Fénix #22,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,22,4,,,,,,,1
Licencia Fénix #23,Licencia Fénix #23,https://docs.valentigamez.com/2357/_media/licencia-mecenas-fenix.png,23,4,,,,,,,1
